# OMNI 1-min, GSM, time-shifted to bow shock nose
# yr mo dy hr mn sc msec  Bx[nT] By[nT] Bz[nT]  Vx[km/s] Vy[km/s] Vz[km/s]  N[/cc] T[K]
#START
2015  3 16  4  1 00 000    3.910   -4.490    6.340   -344.90     13.40     -2.50  26.330     32886.0
2015  3 16  4  2 00 000    3.600   -5.200    5.700   -344.60     12.80     -3.30  25.120     36174.0
2015  3 16  4  3 00 000    3.450   -5.860    4.460   -345.60     14.50     -5.30  25.240     37741.0
2015  3 16  4  4 00 000    3.500   -4.680    4.560   -348.80     19.80     -9.90  27.040     37873.0
2015  3 16  4  5 00 000    3.440   -3.980    5.410   -346.80     11.00     -5.80  27.100     34703.0
2015  3 16  4  6 00 000    3.680   -3.340    4.830   -348.80     10.60     -9.20  29.870     35434.0
2015  3 16  4  7 00 000    3.370   -3.820    4.940   -350.50     10.20    -12.20  32.330     36078.0
2015  3 16  4  8 00 000    3.020   -4.340    4.600   -346.80     15.50    -11.20  30.850     33668.0
2015  3 16  4  9 00 000    2.190   -5.170    4.790   -347.70     15.90    -11.70  30.640     36437.0
2015  3 16  4 10 00 000    2.420   -3.960    5.480   -348.40     15.10    -12.10  30.530     37983.0
2015  3 16  4 11 00 000    3.010   -3.800    5.800   -349.30      8.30    -11.90  30.680     35288.0
2015  3 16  4 12 00 000    2.460   -4.660    5.580   -350.50      8.50    -10.90  26.520     30353.0
2015  3 16  4 13 00 000    2.680   -4.350    5.940   -348.90      9.10     -9.70  26.910     30892.0
2015  3 16  4 14 00 000    2.450   -4.270    5.610   -345.60     10.40     -7.50  28.180     32535.0
2015  3 16  4 15 00 000    2.200   -4.660    5.720   -348.50      8.70    -10.40  28.550     29212.0
2015  3 16  4 16 00 000    1.930   -4.720    5.700   -348.10      8.30    -10.10  28.320     29535.0
2015  3 16  4 17 00 000    2.500   -4.500    6.120   -346.80      7.50     -9.00  27.600     30928.0
2015  3 16  4 18 00 000    1.970   -5.140    5.730   -345.20      7.00    -10.50  27.480     29167.0
2015  3 16  4 19 00 000    2.520   -5.360    4.990   -345.50      6.70    -10.10  27.670     29412.0
2015  3 16  4 20 00 000    2.570   -5.040    4.480   -347.30      7.40     -8.20  28.290     31020.0
2015  3 16  4 21 00 000    2.870   -5.900    5.250   -348.30     10.40     -8.20  28.340     31423.0
2015  3 16  4 22 00 000    2.630   -4.850    6.050   -349.80      0.60    -12.00  25.700     32255.0
2015  3 16  4 23 00 000    1.690   -3.830    6.870   -349.80      0.60    -12.00  25.700     32255.0
2015  3 16  4 24 00 000    2.880   -6.510    5.050   -349.20      4.10    -14.00  26.260     33668.0
2015  3 16  4 25 00 000    2.390   -5.610    6.080   -349.20      4.10    -14.00  26.260     33668.0
2015  3 16  4 26 00 000    2.280   -5.240    6.330   -349.20      4.10    -14.00  26.260     33668.0
2015  3 16  4 27 00 000    2.290   -3.050    7.780   -347.30     -6.10    -14.30  26.280     27037.0
2015  3 16  4 28 00 000    1.540   -5.460    6.800   -346.80     -2.00    -14.40  26.000     28619.0
2015  3 16  4 29 00 000    1.300   -6.210    6.190   -346.50      1.00    -14.40  25.790     29790.0
2015  3 16  4 31 00 000    1.020   -6.640    6.240   -344.80      2.20    -16.20  24.540     29549.0
2015  3 16  4 32 00 000    1.360   -6.830    5.970   -344.80      2.20    -16.20  24.540     29549.0
2015  3 16  4 33 00 000    1.320   -7.050    5.770   -344.80      2.20    -16.20  24.540     29549.0
2015  3 16  4 34 00 000    0.950   -7.650    5.350   -343.80      3.00    -15.10  24.770     30710.0
2015  3 16  4 35 00 000    0.350   -8.480    4.530   -343.80      3.00    -15.10  24.770     30710.0
2015  3 16  4 36 00 000    0.060   -8.870    3.440   -340.00      7.00     -9.50  23.500     27629.0
2015  3 16  4 37 00 000    0.720   -8.070    2.800   -340.00      7.00     -9.50  23.500     27629.0
2015  3 16  4 38 00 000    1.820   -3.440    4.200   -343.60      7.30    -10.20  25.690     35470.0
2015  3 16  4 39 00 000    2.930   -2.200    5.000   -343.80      6.70    -10.00  26.560     37412.0
2015  3 16  4 40 00 000    2.190   -4.020    3.870   -344.90      2.70     -8.80  31.790     47867.0
2015  3 16  4 41 00 000    0.340   -5.570    0.940   -346.10     -5.40     -6.70  32.310     41557.0
2015  3 16  4 42 00 000   -0.050   -6.490   -0.870   -345.20     -4.10     -5.90  32.210     40577.0
2015  3 16  4 43 00 000   -0.370   -6.450   -0.560   -347.00    -10.10     -6.10  32.000     35695.0
2015  3 16  4 44 00 000   -0.110   -6.050   -0.330   -346.80    -11.70     -9.90  31.510     33782.0
2015  3 16  4 45 00 000   -0.010   -5.970   -0.490   -346.80    -11.70     -9.90  31.510     33782.0
2015  3 16  4 46 00 000    0.580   -4.030    1.730   -345.70     -8.50     -4.00  35.090     35720.0
2015  3 16  4 47 00 000    0.470   -4.330    1.680   -345.40     -7.90     -2.80  35.680     36123.0
2015  3 16  4 48 00 000    0.100   -4.340    1.510   -345.30     -7.00      2.70  37.150     39083.0
2015  3 16  4 49 00 000    0.460   -4.300    1.720   -346.50     -9.00     -0.80  35.170     33791.0
2015  3 16  4 50 00 000   -0.320   -4.380    1.290   -344.10     -6.40      1.80  36.290     40637.0
2015  3 16  4 51 00 000   -0.130   -4.610    1.390   -344.10     -6.20      2.20  36.410     41917.0
2015  3 16  4 52 00 000   -0.970   -4.210    0.010   -347.20     -9.30      0.10  35.410     35756.0
2015  3 16  4 53 00 000   -1.760   -2.500   -1.630   -343.90     -5.40      3.80  36.160     38493.0
2015  3 16  4 54 00 000   -1.700   -2.840   -0.550   -345.80     -5.30      1.60  36.530     36796.0
2015  3 16  4 55 00 000   -2.970   -1.980   -2.400   -347.50     -6.50     -2.60  35.190     32620.0
2015  3 16  4 56 00 000   -3.270   -1.760   -2.740   -347.30     -6.30     -2.40  35.300     33037.0
2015  3 16  4 57 00 000   -2.040   -1.410   -1.500   -344.70     -4.30      0.70  36.560     38359.0
2015  3 16  4 58 00 000   -2.780   -0.460   -3.590   -345.60     -4.60     -0.10  36.780     35875.0
2015  3 16  4 59 00 000   -2.830   -0.730   -3.980   -346.70     -5.10     -1.00  36.770     32726.0
2015  3 16  5  0 00 000   -2.630   -0.720   -3.880   -345.70     -2.50     -2.10  36.990     32268.0
2015  3 16  5  1 00 000   -3.240    0.690   -4.840   -344.10      2.10     -4.40  38.580     31258.0
2015  3 16  5  4 00 000   -3.320    0.570   -5.500   -345.10      1.20     -6.00  35.860     33925.0
2015  3 16  5  5 00 000   -3.030    0.980   -4.810   -345.00      1.30     -5.20  35.910     33711.0
2015  3 16  5  6 00 000   -4.140    1.590   -5.080   -344.60      2.00     -1.50  36.050     33005.0
2015  3 16  5  7 00 000   -4.010    1.040   -4.990   -346.40      1.80     -4.00  34.880     35913.0
2015  3 16  5  8 00 000   -3.200    0.820   -5.250   -343.90      3.40     -2.00  36.490     31866.0
2015  3 16  5  9 00 000   -3.350    0.150   -4.710   -342.80      3.00     -1.60  37.020     32192.0
2015  3 16  5 10 00 000   -3.480    0.500   -5.020   -341.10      2.40     -1.20  37.750     32798.0
2015  3 16  5 11 00 000   -3.720    0.830   -5.570   -341.80      2.40     -1.00  37.100     31876.0
2015  3 16  5 12 00 000   -3.470    1.010   -5.890   -341.80      1.40     -0.60  36.200     32460.0
2015  3 16  5 13 00 000   -3.390    1.720   -6.990   -345.80      0.70     -6.50  31.520     32381.0
2015  3 16  5 14 00 000   -3.170    1.980   -7.140   -346.30      0.70     -6.90  31.780     33132.0
2015  3 16  5 15 00 000   -3.180    2.110   -7.110   -346.30      0.70     -6.80  31.920     33241.0
2015  3 16  5 17 00 000   -3.460    1.940   -6.770   -346.40      1.40     -6.30  30.620     28410.0
2015  3 16  5 18 00 000   -3.440    1.730   -6.750   -346.40      1.40     -6.30  30.620     28410.0
2015  3 16  5 19 00 000   -3.210    1.640   -6.560   -346.40      1.40     -6.30  30.620     28410.0
2015  3 16  5 21 00 000   -2.960    1.480   -6.490   -344.80      0.10     -5.10  33.370     30874.0
2015  3 16  5 22 00 000   -2.840    0.820   -6.130   -344.80      0.10     -5.10  33.370     30874.0
2015  3 16  5 23 00 000   -2.940    0.850   -6.050   -344.80      0.10     -5.10  33.370     30874.0
2015  3 16  5 25 00 000   -2.510    2.350   -6.160   -344.20     -0.60     -3.40  34.290     30194.0
2015  3 16  5 26 00 000   -2.510    2.340   -6.160   -344.20     -0.60     -3.40  34.290     30194.0
2015  3 16  5 27 00 000   -2.380    2.660   -6.340   -344.20     -0.60     -3.40  34.290     30194.0
