# OMNI 1-min, GSM, time-shifted to bow shock nose
# yr mo dy hr mn sc msec  Bx[nT] By[nT] Bz[nT]  Vx[km/s] Vy[km/s] Vz[km/s]  N[/cc] T[K]
#START
2022  2  3  2  7 00 000   -0.040   12.320    1.040   -505.50    -35.50    -38.50   4.000    154902.0
2022  2  3  2  9 00 000   -0.510   12.330    1.280   -496.60    -35.60    -43.00   3.580    119321.0
2022  2  3  2 10 00 000   -0.630   12.430    0.570   -496.30    -35.00    -42.10   3.490    117061.0
2022  2  3  2 11 00 000   -1.400   12.400    0.030   -495.00    -32.10    -37.70   3.010    105809.0
2022  2  3  2 12 00 000   -1.430   12.320   -0.180   -493.80    -39.60    -38.10   3.120    128950.0
2022  2  3  2 13 00 000   -1.060   12.370   -0.940   -495.40    -40.80    -36.80   3.140    131671.0
2022  2  3  2 14 00 000   -1.230   12.350   -0.310   -499.20    -34.30    -32.40   3.220    124441.0
2022  2  3  2 15 00 000   -1.130   12.340   -0.040   -500.40    -25.60    -29.70   3.300    114218.0
2022  2  3  2 16 00 000   -0.960   12.260    0.490   -495.30    -42.90    -43.10   2.910     98941.0
2022  2  3  2 17 00 000   -1.610   12.210   -0.430   -495.30    -42.90    -43.10   2.910     98970.0
2022  2  3  2 18 00 000   -1.900   12.110   -0.560   -495.60    -45.10    -39.30   3.180    109474.0
2022  2  3  2 19 00 000   -1.770   12.110   -1.520   -491.60    -39.80    -26.00   3.330    119966.0
2022  2  3  2 20 00 000   -1.260   12.180   -1.990   -494.80    -44.90    -28.40   3.480    118116.0
2022  2  3  2 21 00 000   -1.120   12.150   -2.310   -498.00    -43.40    -24.60   3.250     95770.0
2022  2  3  2 22 00 000   -1.840   12.160   -1.100   -499.30    -41.60    -21.60   3.110     83138.0
2022  2  3  2 23 00 000   -2.170   12.000   -0.270   -495.90    -49.10    -40.30   3.830    134100.0
2022  2  3  2 24 00 000   -2.080   11.940   -0.520   -497.70    -50.50    -38.00   3.650    126749.0
2022  2  3  2 25 00 000   -2.080   11.860   -0.980   -501.30    -50.80    -32.50   3.360    118985.0
2022  2  3  2 26 00 000   -2.010   12.270   -0.930   -502.20    -42.80    -27.60   3.400    135003.0
2022  2  3  2 27 00 000   -2.050   12.180   -1.330   -502.30    -41.10    -21.80   3.090     99548.0
2022  2  3  2 28 00 000   -2.040   12.190   -1.540   -503.60    -38.80    -24.20   3.010    102933.0
2022  2  3  2 29 00 000   -1.920   12.120   -1.610   -504.40    -41.30    -26.20   3.000    108681.0
2022  2  3  2 30 00 000   -2.120   12.120   -1.580   -505.50    -45.30    -29.00   2.980    117288.0
2022  2  3  2 31 00 000   -2.890   12.020   -1.700   -498.20    -44.90    -25.10   3.070    116765.0
2022  2  3  2 32 00 000   -3.400   11.970   -1.320   -498.10    -44.90    -25.00   3.070    116730.0
2022  2  3  2 33 00 000   -3.350   11.810   -1.370   -500.30    -44.50    -24.80   3.100    115171.0
2022  2  3  2 34 00 000   -3.130   11.940   -1.560   -499.70    -44.20    -25.30   3.110    115491.0
2022  2  3  2 35 00 000   -3.390   11.970   -1.770   -495.90    -42.30    -28.20   3.130    117554.0
2022  2  3  2 36 00 000   -3.710   12.060   -2.020   -496.10    -47.90    -26.90   3.010    107238.0
2022  2  3  2 37 00 000   -3.670   12.170   -2.020   -496.10    -49.20    -26.60   2.980    104749.0
2022  2  3  2 38 00 000   -4.060   12.200   -2.370   -489.00    -48.00    -22.90   2.610     87961.0
2022  2  3  2 39 00 000   -3.910   12.420   -2.160   -489.00    -48.00    -22.90   2.610     87963.0
2022  2  3  2 40 00 000   -4.600   12.240   -1.750   -489.00    -51.60    -35.30   2.540     88562.0
2022  2  3  2 41 00 000   -5.590   11.900   -1.150   -489.00    -51.60    -35.30   2.540     88562.0
2022  2  3  2 42 00 000   -5.870   11.750   -1.190   -481.70    -52.40    -34.40   2.710    109741.0
2022  2  3  2 43 00 000   -5.270   11.930   -1.440   -481.70    -52.40    -34.40   2.710    109741.0
2022  2  3  2 45 00 000   -5.000   12.110   -1.660   -477.50    -40.40    -24.80   2.660     92162.0
2022  2  3  2 46 00 000   -4.170   12.500   -1.100   -478.10    -41.90    -25.40   2.690     94633.0
2022  2  3  2 47 00 000   -4.370   12.530   -1.270   -481.30    -49.90    -28.30   2.860    107520.0
2022  2  3  2 48 00 000   -4.050   12.590   -1.750   -479.40    -49.40    -27.00   2.180     74810.0
2022  2  3  2 49 00 000   -3.710   12.750   -1.550   -479.30    -49.30    -26.90   2.160     73605.0
2022  2  3  2 50 00 000   -3.660   12.810   -1.470   -476.00    -50.90    -27.50   2.350     85124.0
2022  2  3  2 51 00 000   -4.300   12.580   -1.580   -476.00    -50.90    -27.50   2.350     85124.0
2022  2  3  2 53 00 000   -4.010   12.560   -1.970   -471.40    -35.10    -21.30   2.280     76962.0
2022  2  3  2 54 00 000   -3.830   12.430   -2.630   -474.00    -42.40    -21.10   2.350     70847.0
2022  2  3  2 55 00 000   -3.610   12.590   -2.270   -477.50    -36.90    -15.00   2.710     76719.0
2022  2  3  2 56 00 000   -3.050   12.970   -1.980   -478.80    -41.40    -16.60   2.650     79902.0
2022  2  3  2 57 00 000   -2.750   12.900   -1.890   -482.30    -48.20    -23.10   2.770     89512.0
2022  2  3  2 58 00 000   -2.680   13.020   -1.380   -484.90    -48.70    -27.90   3.020     95949.0
2022  2  3  2 59 00 000   -3.180   12.860   -1.850   -487.00    -52.00    -28.20   2.780     94013.0
2022  2  3  3  0 00 000   -2.620   13.130   -1.370   -487.90    -49.40    -19.40   2.720     91489.0
2022  2  3  3  1 00 000   -2.970   13.260   -0.630   -488.30    -48.30    -15.90   2.700     90473.0
2022  2  3  3  2 00 000   -2.260   13.100   -0.470   -490.80    -51.80    -14.70   2.540     92496.0
2022  2  3  3  3 00 000   -4.890   11.820    2.390   -490.90    -52.00    -14.60   2.530     92588.0
2022  2  3  3  5 00 000   -4.100   12.530    1.380   -482.70    -40.30    -36.30   2.690     75388.0
2022  2  3  3  6 00 000   -2.840   12.940    0.250   -486.00    -46.10    -30.00   2.740     81299.0
2022  2  3  3  7 00 000   -3.500   12.620    0.470   -492.30    -57.00    -18.10   2.860     92398.0
2022  2  3  3  8 00 000   -3.660   12.260    0.820   -475.70    -47.20    -43.70   3.390    146747.0
2022  2  3  3  9 00 000   -2.710   12.370   -0.130   -475.70    -47.20    -43.70   3.390    146747.0
2022  2  3  3 10 00 000   -2.430   12.150   -1.250   -485.20    -42.00    -29.70   4.070    168402.0
2022  2  3  3 11 00 000   -1.440   12.030   -2.770   -492.40    -40.40    -18.20   4.510    180215.0
2022  2  3  3 12 00 000   -0.280   12.250   -3.660   -498.00    -58.50     -2.70   4.300    150145.0
2022  2  3  3 13 00 000   -1.480   12.250   -1.160   -493.80    -36.70    -27.00   4.080    148848.0
2022  2  3  3 14 00 000   -1.280   12.240   -0.410   -491.90    -43.80    -38.00   4.150    147037.0
2022  2  3  3 15 00 000   -1.280   12.180   -0.510   -491.00    -49.80    -45.00   4.210    146215.0
2022  2  3  3 16 00 000   -0.710   12.160   -0.260   -500.80    -52.20    -42.80   4.230    157484.0
2022  2  3  3 17 00 000   -1.530   12.180   -1.220   -500.80    -52.20    -42.80   4.230    157484.0
2022  2  3  3 18 00 000   -1.120   12.240   -0.840   -494.10    -57.70    -42.40   4.190    118195.0
2022  2  3  3 19 00 000   -1.370   12.210   -1.300   -494.10    -57.70    -42.40   4.190    118195.0
2022  2  3  3 20 00 000   -1.220   12.160   -1.470   -494.10    -57.70    -42.40   4.190    118195.0
2022  2  3  3 21 00 000   -1.350   12.200   -0.510   -493.50    -50.50    -38.50   3.970    137177.0
2022  2  3  3 22 00 000   -0.850   12.210   -0.400   -497.40    -53.40    -50.40   4.280    162038.0
2022  2  3  3 23 00 000   -0.820   12.220   -0.770   -499.80    -54.90    -52.70   4.270    163984.0
2022  2  3  3 24 00 000   -0.400   12.360   -1.360   -500.40    -54.80    -45.50   3.970    144018.0
2022  2  3  3 25 00 000    0.940   12.220   -2.540   -506.70    -58.10    -42.60   3.760    125749.0
2022  2  3  3 26 00 000    0.150   12.100   -3.300   -506.90    -58.20    -42.50   3.750    125140.0
2022  2  3  3 27 00 000    0.020   12.230   -3.200   -506.90    -50.20    -25.10   3.940    139973.0
2022  2  3  3 28 00 000   -0.530   12.100   -3.770   -507.40    -49.70    -28.10   3.950    137057.0
2022  2  3  3 29 00 000    0.080   12.330   -2.490   -510.80    -50.00    -41.50   4.090    134478.0
2022  2  3  3 30 00 000    0.590   12.540   -0.880   -516.50    -55.00    -55.00   4.420    152187.0
2022  2  3  3 31 00 000   -0.030   12.590   -0.880   -514.20    -64.30    -62.90   4.190    145023.0
2022  2  3  3 32 00 000   -0.160   12.590   -1.230   -514.20    -64.30    -62.90   4.190    145023.0
2022  2  3  3 34 00 000   -1.260   12.850   -1.530   -502.50    -67.40    -52.80   3.710    160648.0
2022  2  3  3 35 00 000   -1.150   13.010   -1.760   -502.50    -67.40    -52.80   3.710    160648.0
2022  2  3  3 36 00 000   -1.130   12.840   -2.040   -503.20    -66.40    -48.80   3.070    140614.0
2022  2  3  3 37 00 000   -0.640   12.530   -2.090   -503.80    -67.00    -47.30   3.460    144631.0
2022  2  3  3 38 00 000   -0.200   12.920   -1.460   -508.30    -64.30    -45.40   4.130    146250.0
2022  2  3  3 39 00 000    0.110   12.920   -0.450   -513.50    -58.80    -51.80   4.220    148471.0
2022  2  3  3 40 00 000    0.040   12.820   -0.900   -515.00    -58.00    -55.20   4.550    157237.0
2022  2  3  3 41 00 000   -0.500   12.800   -0.650   -513.50    -54.90    -59.20   3.620     98775.0
2022  2  3  3 42 00 000    0.060   12.660    0.430   -519.30    -53.80    -59.40   4.000    118181.0
2022  2  3  3 44 00 000   -2.150   12.710    2.390   -512.00    -60.70    -58.90   3.650    113169.0
2022  2  3  3 45 00 000   -2.020   12.620    2.990   -512.00    -60.70    -58.90   3.650    113169.0
2022  2  3  3 48 00 000   -1.640   12.120    0.660   -517.60    -53.10    -71.70   3.120    106093.0
2022  2  3  3 49 00 000   -2.610   12.140   -0.160   -510.50    -59.20    -64.00   3.530    112999.0
2022  2  3  3 50 00 000   -2.830   11.830    0.300   -498.50    -60.70    -53.40   3.970    114592.0
2022  2  3  3 51 00 000   -2.990   12.420   -1.000   -499.50    -47.70    -51.80   3.540     94730.0
2022  2  3  3 52 00 000   -3.240   12.430   -1.470   -499.50    -47.70    -51.80   3.540     94730.0
2022  2  3  3 53 00 000   -2.880   12.350   -1.530   -513.90    -63.90    -43.40   3.760    104058.0
2022  2  3  3 54 00 000   -2.840   12.430   -1.790   -508.10    -66.60    -45.20   4.280    115311.0
2022  2  3  3 55 00 000   -2.020   12.530   -3.070   -498.50    -68.70    -43.80   4.590    107554.0
2022  2  3  3 56 00 000   -1.780   12.810   -2.650   -512.20    -68.20    -46.60   3.790    131526.0
2022  2  3  3 57 00 000   -2.630   12.770   -2.380   -505.50    -66.80    -42.40   3.500    141551.0
2022  2  3  3 58 00 000   -2.620   12.880   -2.620   -500.60    -69.00    -46.40   3.590    155669.0
2022  2  3  3 59 00 000   -2.840   12.970   -2.950   -498.90    -70.70    -37.00   3.390    166787.0
2022  2  3  4  8 00 000   -4.980   12.010   -2.180   -487.80    -69.50    -52.30   4.440    114639.0
2022  2  3  4 17 00 000   -4.340   11.990   -3.300   -490.50    -60.20    -39.20   4.570    118142.0
2022  2  3  4 18 00 000   -4.590   11.990   -3.110   -490.50    -60.20    -39.20   4.570    118142.0
2022  2  3  4 24 00 000   -5.310   11.700   -3.090   -479.60    -60.10    -49.40   4.190     91455.0
2022  2  3  4 25 00 000   -4.510   11.890   -3.650   -479.60    -60.10    -49.40   4.190     91455.0
2022  2  3  4 26 00 000   -4.220   11.900   -4.000   -487.40    -61.70    -48.90   4.670    122730.0
2022  2  3  4 27 00 000   -4.620   11.640   -4.240   -487.40    -61.70    -48.90   4.670    122730.0
2022  2  3  4 28 00 000   -4.970   11.330   -4.540   -476.40    -50.90    -39.40   4.360    112594.0
2022  2  3  4 29 00 000   -4.770   11.320   -4.690   -476.40    -50.90    -39.40   4.360    112594.0
2022  2  3  4 30 00 000   -5.280   11.020   -4.980   -471.30    -45.30    -32.20   4.590    121067.0
2022  2  3  4 31 00 000   -4.490   11.480   -4.790   -469.50    -43.30    -29.70   4.670    124042.0
2022  2  3  4 32 00 000   -5.100   10.970   -5.050   -469.50    -43.30    -29.70   4.670    124042.0
2022  2  3  4 36 00 000   -5.170   11.350   -4.680   -463.90    -48.60    -35.30   3.960    130985.0
2022  2  3  4 37 00 000   -4.720   11.540   -4.830   -463.90    -48.60    -35.30   3.960    130985.0
2022  2  3  4 38 00 000   -4.840   11.370   -4.990   -463.90    -48.60    -35.30   3.960    130985.0
2022  2  3  4 39 00 000   -5.080   11.630   -4.970   -467.90    -51.70    -33.30   3.900    151613.0
2022  2  3  4 40 00 000   -5.360   11.810   -5.020   -467.90    -51.70    -33.30   3.900    151613.0
2022  2  3  4 41 00 000   -6.980   11.030   -5.870   -453.00    -49.90    -25.20   2.700     75404.0
2022  2  3  4 42 00 000   -5.500   12.130   -5.180   -450.50    -47.00    -21.20   2.620     67721.0
2022  2  3  4 43 00 000   -3.900   13.360   -4.150   -448.60    -44.90    -16.90   2.560     61475.0
2022  2  3  4 44 00 000   -4.230   13.160   -4.440   -454.30    -58.50    -28.00   2.800     82467.0
2022  2  3  4 45 00 000   -4.000   13.300   -4.360   -454.30    -58.50    -28.00   2.800     82467.0
2022  2  3  4 46 00 000   -3.190   13.640   -3.940   -454.30    -58.50    -28.00   2.800     82467.0
2022  2  3  4 47 00 000   -3.960   13.300   -4.400   -453.40    -57.80    -38.80   2.380     64179.0
2022  2  3  4 48 00 000   -4.760   13.120   -4.550   -453.40    -57.80    -38.80   2.380     64179.0
2022  2  3  4 49 00 000   -4.790   13.140   -4.620   -453.40    -57.80    -38.80   2.380     64179.0
2022  2  3  4 51 00 000   -4.850   12.960   -4.960   -462.20    -77.00    -38.00   2.290     67853.0
2022  2  3  4 52 00 000   -4.150   13.160   -4.870   -457.50    -74.50    -38.90   2.240     65708.0
2022  2  3  4 53 00 000   -4.450   13.100   -4.490   -461.30    -76.50    -46.80   2.460     74431.0
2022  2  3  4 54 00 000   -4.880   13.120   -3.600   -455.60    -81.00    -54.70   2.550     85093.0
2022  2  3  4 55 00 000   -4.720   12.970   -4.230   -445.80    -71.60    -51.20   2.660     97585.0
2022  2  3  4 56 00 000   -4.210   13.200   -4.690   -472.10    -78.10    -33.40   2.330     72582.0
2022  2  3  4 57 00 000   -4.350   13.390   -3.770   -462.40    -63.50    -26.00   2.670     80515.0
2022  2  3  4 58 00 000   -4.410   13.050   -5.390   -448.90    -70.30    -50.10   2.820     87645.0
2022  2  3  4 59 00 000   -4.760   12.180   -6.880   -469.90    -75.60    -42.30   2.300     70722.0
2022  2  3  5  1 00 000   -5.030   11.750   -7.370   -476.20    -72.10    -32.00   2.520     89211.0
2022  2  3  5  2 00 000   -5.540   11.320   -7.600   -476.20    -72.10    -32.00   2.520     89215.0
2022  2  3  5  3 00 000   -5.320   11.790   -7.050   -470.60    -71.20    -24.10   2.770     96281.0
2022  2  3  5  4 00 000   -5.910   10.550   -8.440   -474.70    -73.20    -27.20   2.560     88116.0
2022  2  3  5  5 00 000   -5.180   11.520   -7.340   -475.80    -73.70    -28.00   2.510     85942.0
